PRODUCT_ID,PRODUCT_NAME,CATEGORY BRAND,PRICE,CURRENCY,RATING,MARGIN
10063,Sony - Alpha a7 III Mirrorless ,"Cameras,Sony",1799,USD,4.2,9%
10064,Nikon - Z50 Mirrorless Camera,"Cameras,Nikon",1249,USD,3.6,12%
10065,Canon - PowerShot V10,"Cameras,Canon",399,USD,3.6,14%
10066,Polaroid - Now+ Instant Film Camera Generation 2,"Cameras,Polaroid",149,USD,4.5,7%
10067,Google - Nest Cam 2 Pack,"Smart Home Accessories,Google",269,USD,4.9,12%
10068,Yale - Assure Lock 2 Smart Lock,"Smart Home Accessories,Yale",279,USD,3.7,9%
10069,USB-C Charging Cable,"Cell Phones Accessories,Mobo",5,USD,4.9,11%
10070,Case for iPhone 15 Pro Max Red,"Cell Phones Accessories,Mobo",7,USD,4.4,12%
10071,Case for iPhone 15 Pro Red,"Cell Phones Accessories,Mobo",6,USD,4.7,13%
10072,Case for iPhone 15 Red,"Cell Phones Accessories,Mobo",5,USD,3.6,13%
10073,Case for iPhone 15 Pro Max Black,"Cell Phones Accessories,Mobo",7,USD,4.8,9%
10074,Case for iPhone 15 Pro Black,"Cell Phones Accessories,Mobo",6,USD,3.6,13%
10075,Case for iPhone 15 Black,"Cell Phones Accessories,Mobo",5,USD,3.8,7%
10076,Case for iPhone 15 Pro Max Blue,"Cell Phones Accessories,Mobo",7,USD,3.6,10%
10077,Case for iPhone 15 Pro Blue,"Cell Phones Accessories,Mobo",6,USD,4.1,13%
10078,Case for iPhone 15 Blue,"Cell Phones Accessories,Mobo",5,USD,4.7,8%
10079,Screen Protector for iPhone 15 Pro Max,"Cell Phones Accessories,Mobo",7,USD,3.7,12%
10080,Screen Protector for iPhone 15 Pro,"Cell Phones Accessories,Mobo",6,USD,4.2,7%
10081,Screen Protector for iPhone 15 Pro,"Cell Phones Accessories,Mobo",5,USD,3.8,14%
10082,Apple 20W USB-C Power Adapter,"Cell Phones Accessories,Apple",20,USD,4.7,10%
10083,Apple 45W USB-C Power Adapter,"Cell Phones Accessories,Apple",50,USD,4.5,10%
10084,AAA Batteries (4-pack),"Batteries,Duracell",7,USD,3.9,9%
10085,AA Batteries (4-pack),"Batteries,Duracell",6,USD,3.9,11%
10086,Lightning Charging Cable,"Cell Phones Accessories,Apple",13,USD,4.7,10%
